promocode_id,promocode,description,company_name,event_id,event_title,period_week,times_used,booking_lines,tickets,total_discount,partner_name,category,venue
,SEED-W37-MYBOOK-INF,"My Book",,evt-ip,"Inflatapark - City Center",2026-W37,5,5,5,775,"My Book","Aggregator BOGO","InflataPark"
,SEED-W37-ENTERTAINE-INF,"Entertainer",,evt-ip,"Inflatapark - City Center",2026-W37,5,5,5,775,"Entertainer","Aggregator BOGO","InflataPark"
,SEED-W37-IMTYAZAT-INF,"Imtyazat",,evt-ip,"Inflatapark - City Center",2026-W37,12,12,41,54.79,"Imtyazat","Corporate discount","InflataPark"
,SEED-W37-QATARAIRWA-INF,"Qatar Airways",,evt-ip,"Inflatapark - City Center",2026-W37,10,10,34,45.66,"Qatar Airways","Corporate discount","InflataPark"
,SEED-W37-PUBLICHEAL-INF,"Public Health Sector (Sogha)",,evt-ip,"Inflatapark - City Center",2026-W37,7,7,24,31.96,"Public Health Sector (Sogha)","Corporate discount","InflataPark"
,SEED-W37-QATARFOUND-INF,"Qatar Foundation",,evt-ip,"Inflatapark - City Center",2026-W37,4,4,13,18.26,"Qatar Foundation","Corporate discount","InflataPark"
,SEED-W37-QATARINVES-INF,"Qatar Investment Authority",,evt-ip,"Inflatapark - City Center",2026-W37,3,3,10,13.7,"Qatar Investment Authority","Corporate discount","InflataPark"
,SEED-W37-ASPIRE-INF,"Aspire",,evt-ip,"Inflatapark - City Center",2026-W37,1,1,3,4.57,"Aspire","Corporate discount","InflataPark"
,SEED-W37-ALJAZEERAI-INF,"Al Jazeera Imtiyazat",,evt-ip,"Inflatapark - City Center",2026-W37,1,1,3,4.56,"Al Jazeera Imtiyazat","Corporate discount","InflataPark"
,SEED-W37-URBANPOINT-KID,"Urban Point",,evt-kds,"Kids City Driving School",2026-W37,3,3,3,650.4,"Urban Point","Aggregator BOGO","Kids City Driving School"
,SEED-W37-MYBOOK-KID,"My Book",,evt-kds,"Kids City Driving School",2026-W37,4,4,4,867.2,"My Book","Aggregator BOGO","Kids City Driving School"
,SEED-W37-ENTERTAINE-KID,"Entertainer",,evt-kds,"Kids City Driving School",2026-W37,3,3,3,650.4,"Entertainer","Aggregator BOGO","Kids City Driving School"
,SEED-W37-IMTYAZAT-KID,"Imtyazat",,evt-kds,"Kids City Driving School",2026-W37,10,10,43,303.64,"Imtyazat","Corporate discount","Kids City Driving School"
,SEED-W37-QATARAIRWA-KID,"Qatar Airways",,evt-kds,"Kids City Driving School",2026-W37,10,10,43,303.64,"Qatar Airways","Corporate discount","Kids City Driving School"
,SEED-W37-PUBLICHEAL-KID,"Public Health Sector (Sogha)",,evt-kds,"Kids City Driving School",2026-W37,5,5,22,151.82,"Public Health Sector (Sogha)","Corporate discount","Kids City Driving School"
,SEED-W37-QATARFOUND-KID,"Qatar Foundation",,evt-kds,"Kids City Driving School",2026-W37,3,3,12,91.09,"Qatar Foundation","Corporate discount","Kids City Driving School"
,SEED-W37-QATARINVES-KID,"Qatar Investment Authority",,evt-kds,"Kids City Driving School",2026-W37,3,3,12,91.09,"Qatar Investment Authority","Corporate discount","Kids City Driving School"
,SEED-W37-ASPIRE-KID,"Aspire",,evt-kds,"Kids City Driving School",2026-W37,1,1,4,30.36,"Aspire","Corporate discount","Kids City Driving School"
,SEED-W37-ALJAZEERAI-KID,"Al Jazeera Imtiyazat",,evt-kds,"Kids City Driving School",2026-W37,1,1,4,30.36,"Al Jazeera Imtiyazat","Corporate discount","Kids City Driving School"
,SEED-W37-QNBREWARDS-KID,"QNB Rewards",,evt-kds,"Kids City Driving School",2026-W37,1,1,4,30.36,"QNB Rewards","Corporate discount","Kids City Driving School"
,SEED-W37-QIB-KID,"QIB",,evt-kds,"Kids City Driving School",2026-W37,1,1,4,30.39,"QIB","Corporate discount","Kids City Driving School"
,SEED-W37-IMTYAZAT-CRA,"Imtyazat",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,6,6,8,582.88,"Imtyazat","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-QATARAIRWA-CRA,"Qatar Airways",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,7,7,9,680.02,"Qatar Airways","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-PUBLICHEAL-CRA,"Public Health Sector (Sogha)",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,5,5,6,485.73,"Public Health Sector (Sogha)","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-QATARFOUND-CRA,"Qatar Foundation",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,2,2,2,194.29,"Qatar Foundation","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-QATARINVES-CRA,"Qatar Investment Authority",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,2,2,2,194.29,"Qatar Investment Authority","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-QNBREWARDS-CRA,"QNB Rewards",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,1,1,1,97.15,"QNB Rewards","Corporate discount","Crayons & Bricks Vendome"
,SEED-W37-QIB-CRA,"QIB",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-W37,1,1,1,97.14,"QIB","Corporate discount","Crayons & Bricks Vendome"
,loyaltykds,"loyalty pass free city pass",,evt-kds,"Kids City Driving School",2026-W37,7,7,7,315,"","Internal / promotion","Kids City Driving School"
,loyaltyinf,"Loyalty pass",,evt-ip,"Inflatapark - City Center",2026-W37,1,1,1,45,"","Internal / promotion","InflataPark"
,cafe50,"50% off on cafe",,evt-ua,"Urban Arena - Doha Mall",2026-W37,31,36,36,247.5,"","Internal / promotion","Urban Arena"
,karak100,"In-house karak offer",,evt-ua,"Urban Arena - Doha Mall",2026-W37,1,3,3,15,"","Internal / promotion","Urban Arena"
